waveform	Sine
t0	12/31/1903  17:00:00.100000
delta t	0.001000

time	Sine
12/31/1903  17:00:00.100000	6.279052E-2
12/31/1903  17:00:00.101000	2.492984E-1
12/31/1903  17:00:00.102000	4.269160E-1
12/31/1903  17:00:00.103000	5.893092E-1
12/31/1903  17:00:00.104000	7.306868E-1
12/31/1903  17:00:00.105000	8.460071E-1
12/31/1903  17:00:00.106000	9.311577E-1
12/31/1903  17:00:00.107000	9.831019E-1
12/31/1903  17:00:00.108000	9.999874E-1
12/31/1903  17:00:00.109000	9.812119E-1
12/31/1903  17:00:00.110000	9.274452E-1
12/31/1903  17:00:00.111000	8.406044E-1
12/31/1903  17:00:00.112000	7.237866E-1
12/31/1903  17:00:00.113000	5.811576E-1
12/31/1903  17:00:00.114000	4.178036E-1
12/31/1903  17:00:00.115000	2.395503E-1
12/31/1903  17:00:00.116000	5.275426E-2
12/31/1903  17:00:00.117000	-1.359231E-1
12/31/1903  17:00:00.118000	-3.197532E-1
12/31/1903  17:00:00.119000	-4.921805E-1
12/31/1903  17:00:00.120000	-6.470560E-1
12/31/1903  17:00:00.121000	-7.788565E-1
12/31/1903  17:00:00.122000	-8.828820E-1
12/31/1903  17:00:00.123000	-9.554228E-1
12/31/1903  17:00:00.124000	-9.938918E-1
12/31/1903  17:00:00.125000	-9.969173E-1
12/31/1903  17:00:00.126000	-9.643914E-1
12/31/1903  17:00:00.127000	-8.974740E-1
12/31/1903  17:00:00.128000	-7.985515E-1
12/31/1903  17:00:00.129000	-6.711515E-1
12/31/1903  17:00:00.130000	-5.198173E-1
12/31/1903  17:00:00.131000	-3.499458E-1
12/31/1903  17:00:00.132000	-1.675947E-1
12/31/1903  17:00:00.133000	2.073303E-2
12/31/1903  17:00:00.134000	2.083214E-1
12/31/1903  17:00:00.135000	3.884807E-1
12/31/1903  17:00:00.136000	5.547863E-1
12/31/1903  17:00:00.137000	7.013075E-1
12/31/1903  17:00:00.138000	8.228191E-1
12/31/1903  17:00:00.139000	9.149878E-1
12/31/1903  17:00:00.140000	9.745269E-1
12/31/1903  17:00:00.141000	9.993130E-1
12/31/1903  17:00:00.142000	9.884622E-1
12/31/1903  17:00:00.143000	9.423615E-1
12/31/1903  17:00:00.144000	8.626549E-1
12/31/1903  17:00:00.145000	7.521849E-1
12/31/1903  17:00:00.146000	6.148910E-1
12/31/1903  17:00:00.147000	4.556692E-1
12/31/1903  17:00:00.148000	2.801976E-1
12/31/1903  17:00:00.149000	9.473382E-2
12/31/1903  17:00:00.150000	-9.410831E-2
12/31/1903  17:00:00.151000	-2.795944E-1
12/31/1903  17:00:00.152000	-4.551098E-1
12/31/1903  17:00:00.153000	-6.143954E-1
12/31/1903  17:00:00.154000	-7.517708E-1
12/31/1903  17:00:00.155000	-8.623370E-1
12/31/1903  17:00:00.156000	-9.421511E-1
12/31/1903  17:00:00.157000	-9.883668E-1
12/31/1903  17:00:00.158000	-9.993360E-1
12/31/1903  17:00:00.159000	-9.746676E-1
12/31/1903  17:00:00.160000	-9.152412E-1
12/31/1903  17:00:00.161000	-8.231760E-1
12/31/1903  17:00:00.162000	-7.017553E-1
12/31/1903  17:00:00.163000	-5.553090E-1
12/31/1903  17:00:00.164000	-3.890596E-1
12/31/1903  17:00:00.165000	-2.089359E-1
12/31/1903  17:00:00.166000	-2.136121E-2
12/31/1903  17:00:00.167000	1.669752E-1
12/31/1903  17:00:00.168000	3.493571E-1
12/31/1903  17:00:00.169000	5.192805E-1
12/31/1903  17:00:00.170000	6.706856E-1
12/31/1903  17:00:00.171000	7.981731E-1
12/31/1903  17:00:00.172000	8.971967E-1
12/31/1903  17:00:00.173000	9.642251E-1
12/31/1903  17:00:00.174000	9.968678E-1
12/31/1903  17:00:00.175000	9.939610E-1
12/31/1903  17:00:00.176000	9.556081E-1
12/31/1903  17:00:00.177000	8.831769E-1
12/31/1903  17:00:00.178000	7.792505E-1
12/31/1903  17:00:00.179000	6.475349E-1
12/31/1903  17:00:00.180000	4.927273E-1
12/31/1903  17:00:00.181000	3.203485E-1
12/31/1903  17:00:00.182000	1.365455E-1
12/31/1903  17:00:00.183000	-5.212680E-2
12/31/1903  17:00:00.184000	-2.389402E-1
12/31/1903  17:00:00.185000	-4.172327E-1
12/31/1903  17:00:00.186000	-5.806461E-1
12/31/1903  17:00:00.187000	-7.233529E-1
12/31/1903  17:00:00.188000	-8.402639E-1
12/31/1903  17:00:00.189000	-9.272100E-1
12/31/1903  17:00:00.190000	-9.810905E-1
12/31/1903  17:00:00.191000	-9.999840E-1
12/31/1903  17:00:00.192000	-9.832167E-1
12/31/1903  17:00:00.193000	-9.313866E-1
12/31/1903  17:00:00.194000	-8.463419E-1
12/31/1903  17:00:00.195000	-7.311156E-1
12/31/1903  17:00:00.196000	-5.898167E-1
12/31/1903  17:00:00.197000	-4.274841E-1
12/31/1903  17:00:00.198000	-2.499068E-1
12/31/1903  17:00:00.199000	-6.341759E-2
